epoch,step,train_acc,train_loss,val_acc,val_loss
0,1,,,0.36666667461395264,1.0871899127960205
1,3,,,0.6000000238418579,1.0634397268295288
2,5,,,0.6666666865348816,1.0218358039855957
3,7,,,0.699999988079071,0.954249918460846
4,9,0.75,0.7855704426765442,,
4,9,,,0.699999988079071,0.871179461479187
5,11,,,0.7666666507720947,0.770969033241272
6,13,,,0.7666666507720947,0.6965558528900146
7,15,,,0.8666666746139526,0.6172561049461365
8,17,,,0.8666666746139526,0.5570356845855713
9,19,0.9166666865348816,0.581463634967804,,
9,19,,,0.8666666746139526,0.4973025321960449
10,21,,,0.8999999761581421,0.45718875527381897
11,23,,,0.8999999761581421,0.42113205790519714
12,25,,,0.9666666388511658,0.4040776193141937
13,27,,,0.9666666388511658,0.37851351499557495
14,29,0.9166666865348816,0.4960663616657257,,
14,29,,,0.9666666388511658,0.35410812497138977
15,31,,,0.9666666388511658,0.32763969898223877
16,33,,,0.9666666388511658,0.315375953912735
17,35,,,0.9666666388511658,0.2979513108730316
18,37,,,1.0,0.293701708316803
19,39,0.9583333134651184,0.4793492257595062,,
19,39,,,1.0,0.2751263380050659
20,41,,,1.0,0.26707714796066284
21,43,,,1.0,0.2544582188129425
22,45,,,1.0,0.23317702114582062
23,47,,,1.0,0.21624353528022766
24,49,0.9583333134651184,0.28017154335975647,,
24,49,,,1.0,0.21377821266651154
25,51,,,1.0,0.20575858652591705
26,53,,,1.0,0.18968906998634338
27,55,,,1.0,0.17491592466831207
28,57,,,1.0,0.1552814096212387
29,59,0.9166666865348816,0.407008558511734,,
29,59,,,1.0,0.14339183270931244
30,61,,,1.0,0.14046518504619598
31,63,,,1.0,0.13182921707630157
32,65,,,1.0,0.12742799520492554
33,67,,,1.0,0.12340357154607773
34,69,0.9583333134651184,0.2370843142271042,,
34,69,,,1.0,0.12286845594644547
35,71,,,1.0,0.11467234790325165
36,73,,,1.0,0.10876784473657608
37,75,,,1.0,0.09702460467815399
38,77,,,1.0,0.09091781824827194
39,79,0.9583333134651184,0.19613832235336304,,
39,79,,,1.0,0.08855488151311874
40,81,,,1.0,0.08434607833623886
41,83,,,1.0,0.08004728704690933
42,85,,,1.0,0.07733679562807083
43,87,,,1.0,0.06797663867473602
44,89,0.9583333134651184,0.20739002525806427,,
44,89,,,1.0,0.06793379783630371
45,91,,,1.0,0.06617866456508636
46,93,,,1.0,0.06829463690519333
47,95,,,1.0,0.06824057549238205
48,97,,,1.0,0.06688976287841797
49,99,0.875,0.23860323429107666,,
49,99,,,1.0,0.06700991839170456
50,101,,,1.0,0.06453689187765121
51,103,,,1.0,0.061100129038095474
52,105,,,1.0,0.05893246829509735
53,107,,,1.0,0.05748691037297249
54,109,1.0,0.1000044047832489,,
54,109,,,1.0,0.057482779026031494
55,111,,,1.0,0.0571054108440876
56,113,,,1.0,0.0548342689871788
57,115,,,1.0,0.05285301059484482
58,117,,,1.0,0.050259705632925034
59,119,0.9166666865348816,0.21177607774734497,,
59,119,,,1.0,0.04875428229570389
60,121,,,1.0,0.04733997955918312
61,123,,,1.0,0.04767458885908127
62,125,,,1.0,0.047780558466911316
63,127,,,1.0,0.04628697782754898
64,129,0.9583333134651184,0.236771821975708,,
64,129,,,1.0,0.04330151528120041
65,131,,,1.0,0.04432876035571098
66,133,,,1.0,0.04515187442302704
67,135,,,1.0,0.04662427678704262
68,137,,,1.0,0.04849693551659584
69,139,1.0,0.09971179813146591,,
69,139,,,1.0,0.0491623729467392
70,141,,,1.0,0.054021455347537994
71,143,,,1.0,0.05435653403401375
72,145,,,1.0,0.049716755747795105
73,147,,,1.0,0.04787249490618706
74,149,0.9583333134651184,0.14064471423625946,,
74,149,,,1.0,0.045814644545316696
75,151,,,1.0,0.04362640902400017
76,153,,,1.0,0.045382771641016006
77,155,,,1.0,0.04341310262680054
78,157,,,1.0,0.04041450843214989
79,159,0.9583333134651184,0.10471159219741821,,
79,159,,,1.0,0.0400901697576046
80,161,,,1.0,0.038222141563892365
81,163,,,1.0,0.0381460078060627
82,165,,,1.0,0.0407286137342453
83,167,,,1.0,0.040167246013879776
84,169,0.9583333134651184,0.21538633108139038,,
84,169,,,1.0,0.03952280431985855
85,171,,,1.0,0.03774731606245041
86,173,,,1.0,0.036074381321668625
87,175,,,1.0,0.03532330319285393
88,177,,,1.0,0.03590388596057892
89,179,0.9166666865348816,0.19601817429065704,,
89,179,,,1.0,0.034570690244436264
90,181,,,1.0,0.036450907588005066
91,183,,,1.0,0.03627679869532585
92,185,,,1.0,0.03494448587298393
93,187,,,1.0,0.03400778770446777
94,189,1.0,0.04822631552815437,,
94,189,,,1.0,0.033622171729803085
95,191,,,1.0,0.03434043377637863
96,193,,,1.0,0.03330189734697342
97,195,,,1.0,0.035145103931427
98,197,,,1.0,0.032250262796878815
99,199,0.9166666865348816,0.15197376906871796,,
99,199,,,1.0,0.0334961861371994
100,201,,,1.0,0.03330440819263458
101,203,,,1.0,0.032703496515750885
102,205,,,1.0,0.03332635015249252
103,207,,,1.0,0.032675594091415405
104,209,0.9166666865348816,0.13184379041194916,,
104,209,,,1.0,0.03232380375266075
105,211,,,1.0,0.033310696482658386
106,213,,,1.0,0.032327815890312195
107,215,,,1.0,0.03301215171813965
108,217,,,1.0,0.03402356803417206
109,219,1.0,0.04551876708865166,,
109,219,,,1.0,0.03363344818353653
110,221,,,1.0,0.03215661644935608
111,223,,,1.0,0.03267864137887955
112,225,,,1.0,0.03291471302509308
113,227,,,1.0,0.03239956870675087
114,229,0.9583333134651184,0.197518453001976,,
114,229,,,1.0,0.03391832858324051
115,231,,,1.0,0.03418947011232376
116,233,,,1.0,0.03392302617430687
117,235,,,1.0,0.03427575156092644
118,237,,,1.0,0.03496740013360977
119,239,0.9583333134651184,0.1582188606262207,,
119,239,,,1.0,0.0348040796816349
120,241,,,1.0,0.034847915172576904
121,243,,,1.0,0.032575879245996475
122,245,,,1.0,0.033568672835826874
123,247,,,1.0,0.03364383801817894
124,249,1.0,0.09621986001729965,,
124,249,,,1.0,0.03344782441854477
125,251,,,1.0,0.031997617334127426
126,253,,,1.0,0.033016953617334366
127,255,,,1.0,0.03408466652035713
128,257,,,1.0,0.034393057227134705
129,259,1.0,0.07401666790246964,,
129,259,,,1.0,0.03349987789988518
130,261,,,1.0,0.03345227986574173
131,263,,,1.0,0.03246823325753212
132,265,,,1.0,0.03264636546373367
133,267,,,1.0,0.033277448266744614
134,269,0.9583333134651184,0.1431596428155899,,
134,269,,,1.0,0.03273406997323036
135,271,,,1.0,0.032002534717321396
136,273,,,1.0,0.03393853083252907
137,275,,,1.0,0.03448684141039848
138,277,,,1.0,0.03485313430428505
139,279,1.0,0.06300542503595352,,
139,279,,,1.0,0.03447252884507179
140,281,,,1.0,0.033597785979509354
141,283,,,1.0,0.033844079822301865
142,285,,,1.0,0.03281591087579727
143,287,,,1.0,0.033675890415906906
144,289,1.0,0.058255840092897415,,
144,289,,,1.0,0.03240623697638512
145,291,,,1.0,0.03322102874517441
